ST_length	        length	            misc,raw,lengthdep
IN_AutoMutualInfoStats_40_gaussian.ami9  IN_AutoMutualInfoStats_40_gaussian_ami9  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami10  IN_AutoMutualInfoStats_40_gaussian_ami10  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami11  IN_AutoMutualInfoStats_40_gaussian_ami11  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami12  IN_AutoMutualInfoStats_40_gaussian_ami12  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami13  IN_AutoMutualInfoStats_40_gaussian_ami13  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami14  IN_AutoMutualInfoStats_40_gaussian_ami14  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami15  IN_AutoMutualInfoStats_40_gaussian_ami15  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami16  IN_AutoMutualInfoStats_40_gaussian_ami16  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami17  IN_AutoMutualInfoStats_40_gaussian_ami17  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami18  IN_AutoMutualInfoStats_40_gaussian_ami18  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami19  IN_AutoMutualInfoStats_40_gaussian_ami19  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami20  IN_AutoMutualInfoStats_40_gaussian_ami20  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami21  IN_AutoMutualInfoStats_40_gaussian_ami21  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami22  IN_AutoMutualInfoStats_40_gaussian_ami22  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami23  IN_AutoMutualInfoStats_40_gaussian_ami23  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami24  IN_AutoMutualInfoStats_40_gaussian_ami24  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami25  IN_AutoMutualInfoStats_40_gaussian_ami25  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami26  IN_AutoMutualInfoStats_40_gaussian_ami26  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami27  IN_AutoMutualInfoStats_40_gaussian_ami27  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami28  IN_AutoMutualInfoStats_40_gaussian_ami28  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami29  IN_AutoMutualInfoStats_40_gaussian_ami29  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami30  IN_AutoMutualInfoStats_40_gaussian_ami30  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami31  IN_AutoMutualInfoStats_40_gaussian_ami31  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami32  IN_AutoMutualInfoStats_40_gaussian_ami32  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami33  IN_AutoMutualInfoStats_40_gaussian_ami33  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami34  IN_AutoMutualInfoStats_40_gaussian_ami34  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami35  IN_AutoMutualInfoStats_40_gaussian_ami35  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami36  IN_AutoMutualInfoStats_40_gaussian_ami36  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami37  IN_AutoMutualInfoStats_40_gaussian_ami37  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami38  IN_AutoMutualInfoStats_40_gaussian_ami38  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami39  IN_AutoMutualInfoStats_40_gaussian_ami39  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.ami40  IN_AutoMutualInfoStats_40_gaussian_ami40  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.mami  IN_AutoMutualInfoStats_40_gaussian_mami  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.stdami  IN_AutoMutualInfoStats_40_gaussian_stdami  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pextrema  IN_AutoMutualInfoStats_40_gaussian_pextrema  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.fmmi  IN_AutoMutualInfoStats_40_gaussian_fmmi  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pmaxima  IN_AutoMutualInfoStats_40_gaussian_pmaxima  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.modeperiodmax  IN_AutoMutualInfoStats_40_gaussian_modeperiodmax  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pmodeperiodmax  IN_AutoMutualInfoStats_40_gaussian_pmodeperiodmax  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pminima  IN_AutoMutualInfoStats_40_gaussian_pminima  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.modeperiodmin  IN_AutoMutualInfoStats_40_gaussian_modeperiodmin  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pmodeperiodmin  IN_AutoMutualInfoStats_40_gaussian_pmodeperiodmin  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pcrossmean  IN_AutoMutualInfoStats_40_gaussian_pcrossmean  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pcrossmedian  IN_AutoMutualInfoStats_40_gaussian_pcrossmedian  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pcrossq10  IN_AutoMutualInfoStats_40_gaussian_pcrossq10  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.pcrossq90  IN_AutoMutualInfoStats_40_gaussian_pcrossq90  information,correlation,AMI
IN_AutoMutualInfoStats_40_gaussian.amiac1  IN_AutoMutualInfoStats_40_gaussian_amiac1  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami1  IN_AutoMutualInfoStats_40_kraskov1_4_ami1  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami2  IN_AutoMutualInfoStats_40_kraskov1_4_ami2  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami3  IN_AutoMutualInfoStats_40_kraskov1_4_ami3  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami4  IN_AutoMutualInfoStats_40_kraskov1_4_ami4  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami5  IN_AutoMutualInfoStats_40_kraskov1_4_ami5  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami6  IN_AutoMutualInfoStats_40_kraskov1_4_ami6  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami7  IN_AutoMutualInfoStats_40_kraskov1_4_ami7  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami8  IN_AutoMutualInfoStats_40_kraskov1_4_ami8  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami9  IN_AutoMutualInfoStats_40_kraskov1_4_ami9  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami10  IN_AutoMutualInfoStats_40_kraskov1_4_ami10  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami11  IN_AutoMutualInfoStats_40_kraskov1_4_ami11  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami12  IN_AutoMutualInfoStats_40_kraskov1_4_ami12  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami13  IN_AutoMutualInfoStats_40_kraskov1_4_ami13  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami14  IN_AutoMutualInfoStats_40_kraskov1_4_ami14  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami15  IN_AutoMutualInfoStats_40_kraskov1_4_ami15  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami16  IN_AutoMutualInfoStats_40_kraskov1_4_ami16  information,correlation,AMI
IN_AutoMutualInfoStats_40_kraskov1_4.ami17  IN_AutoMutualInfoStats_40_kraskov1_4_ami17  information,correlation,AMI
